"","TeamName","Season","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM","seed","BY.YEAR.NO","BY.ROUND.NO","TEAM.NO","SEED","ROUND","CURRENT.ROUND","SCORE","Win","Upset"
"122","Notre Dame",2008,71.4254,40,68.9559,35,112.861,17,116.335,14,98.1502,78,97.1396,62,19.1955,27,"5",122,990,30,5,32,64,68,TRUE,0
"123","Arkansas",2008,69.2934,92,66.2236,109,106.105,89,109.701,70,96.5362,54,94.8336,37,14.8678,42,"9",123,991,63,9,32,64,86,TRUE,1
"124","Indiana",2008,67.0355,172,65.6213,130,110.581,34,114.362,26,95.5713,43,94.8557,38,19.5064,24,"8",124,992,44,8,64,64,72,FALSE,0
"125","Mount St. Mary's",2008,68.3348,123,65.2309,142,100.76,187,99.0167,237,97.0421,60,100.058,98,-1.04085,170,"16",125,993,32,16,64,64,74,FALSE,0
"126","North Carolina",2008,76.0195,3,71.9191,8,115.213,4,120.686,2,94.7521,33,92.5415,20,28.1446,4,"1",126,994,31,1,4,64,113,TRUE,0
"127","North Carolina",2009,75.9017,4,72.454,6,117.352,2,122.645,1,96.1566,59,94.0872,37,28.5574,3,"1",127,3,95,1,1,2,89,TRUE,0
"128","Michigan St.",2009,66.5629,162,65.9592,109,108.114,57,112.732,35,94.5144,33,89.9494,9,22.7829,14,"2",128,4,101,2,2,2,72,FALSE,0
"129","North Carolina",2009,75.9017,4,72.454,6,117.352,2,122.645,1,96.1566,59,94.0872,37,28.5574,3,"1",129,35,95,1,1,4,83,TRUE,0
"130","Villanova",2009,69.0715,81,66.8453,82,110.17,28,113.638,28,95.8818,56,91.9303,20,21.7081,17,"3",130,36,72,3,4,4,69,FALSE,0
"131","Connecticut",2009,67.6114,128,65.5863,125,111.344,20,114.597,20,91.4777,9,86.5571,3,28.0401,4,"1",131,37,116,1,4,4,73,FALSE,0
"132","Michigan St.",2009,66.5629,162,65.9592,109,108.114,57,112.732,35,94.5144,33,89.9494,9,22.7829,14,"2",132,38,101,2,2,4,82,TRUE,1
"133","Oklahoma",2009,69.3666,76,66.283,103,113.677,8,117.928,4,97.2826,86,94.6403,40,23.2882,12,"2",133,99,91,2,8,8,60,FALSE,0
"134","North Carolina",2009,75.9017,4,72.454,6,117.352,2,122.645,1,96.1566,59,94.0872,37,28.5574,3,"1",134,100,95,1,1,8,72,TRUE,0
"135","Villanova",2009,69.0715,81,66.8453,82,110.17,28,113.638,28,95.8818,56,91.9303,20,21.7081,17,"3",135,101,72,3,4,8,78,TRUE,1
"136","Pittsburgh",2009,66.9968,142,64.7792,160,116.603,3,121.48,2,96.1493,58,92.002,21,29.4777,1,"1",136,102,89,1,8,8,76,FALSE,0
"137","Missouri",2009,72.7415,14,69.8579,17,111.229,22,114.53,21,91.3725,8,91.046,14,23.484,10,"3",137,103,98,3,8,8,75,FALSE,0
"138","Connecticut",2009,67.6114,128,65.5863,125,111.344,20,114.597,20,91.4777,9,86.5571,3,28.0401,4,"1",138,104,116,1,4,8,82,TRUE,0
"139","Michigan St.",2009,66.5629,162,65.9592,109,108.114,57,112.732,35,94.5144,33,89.9494,9,22.7829,14,"2",139,105,101,2,2,8,64,TRUE,1
"140","Louisville",2009,69.5444,67,66.967,77,105.801,88,109.217,70,88.4266,3,83.849,2,25.3676,6,"1",140,106,107,1,8,8,52,FALSE,0
"141","Oklahoma",2009,69.3666,76,66.283,103,113.677,8,117.928,4,97.2826,86,94.6403,40,23.2882,12,"2",141,227,91,2,8,16,84,TRUE,0
"142","Syracuse",2009,71.52,29,69.2046,24,109.274,38,116.963,10,98.5211,104,95.2698,46,21.693,18,"3",142,228,82,3,16,16,71,FALSE,0
"143","Gonzaga",2009,68.0126,111,66.4288,98,114.842,5,116.862,11,89.7464,5,90.9086,11,25.9534,5,"4",143,229,110,4,16,16,77,FALSE,0
"144","North Carolina",2009,75.9017,4,72.454,6,117.352,2,122.645,1,96.1566,59,94.0872,37,28.5574,3,"1",144,230,95,1,1,16,98,TRUE,0
"145","Duke",2009,69.4428,72,65.5211,130,111.86,15,117.869,5,94.5432,34,92.541,25,25.3284,7,"2",145,231,113,2,16,16,54,FALSE,0
"146","Villanova",2009,69.0715,81,66.8453,82,110.17,28,113.638,28,95.8818,56,91.9303,20,21.7081,17,"3",146,232,72,3,4,16,77,TRUE,1
"147","Xavier",2009,67.0833,139,65.3071,142,107.589,71,111.158,44,92.6022,14,92.0625,23,19.0951,24,"4",147,233,66,4,16,16,55,FALSE,0
"148","Pittsburgh",2009,66.9968,142,64.7792,160,116.603,3,121.48,2,96.1493,58,92.002,21,29.4777,1,"1",148,234,89,1,8,16,60,TRUE,0
"149","Memphis",2009,67.7431,121,64.5834,170,108.992,44,110.759,49,83.4843,1,81.3187,1,29.4398,2,"2",149,235,103,2,16,16,91,FALSE,0
"150","Missouri",2009,72.7415,14,69.8579,17,111.229,22,114.53,21,91.3725,8,91.046,14,23.484,10,"3",150,236,98,3,8,16,102,TRUE,1
"151","Purdue",2009,65.3743,214,65.2998,143,105.14,94,110.175,57,89.85,6,88.2115,5,21.9637,15,"5",151,237,87,5,16,16,60,FALSE,0
"152","Connecticut",2009,67.6114,128,65.5863,125,111.344,20,114.597,20,91.4777,9,86.5571,3,28.0401,4,"1",152,238,116,1,4,16,72,TRUE,0
"153","Michigan St.",2009,66.5629,162,65.9592,109,108.114,57,112.732,35,94.5144,33,89.9494,9,22.7829,14,"2",153,239,101,2,2,16,67,TRUE,0
"154","Kansas",2009,69.4385,73,66.4233,99,110.702,23,114.807,16,94.4339,30,91.6765,16,23.1309,13,"3",154,240,108,3,16,16,62,FALSE,0
"155","Arizona",2009,64.4079,264,63.6396,213,111.384,19,117.23,7,105.805,267,101.217,143,16.0133,37,"12",155,241,127,12,16,16,64,FALSE,0
"156","Louisville",2009,69.5444,67,66.967,77,105.801,88,109.217,70,88.4266,3,83.849,2,25.3676,6,"1",156,242,107,1,8,16,103,TRUE,0
"157","Oklahoma",2009,69.3666,76,66.283,103,113.677,8,117.928,4,97.2826,86,94.6403,40,23.2882,12,"2",157,483,91,2,8,32,73,TRUE,0
"158","Michigan",2009,62.2501,313,62.0992,273,105.636,92,112.016,38,100.806,161,97.5173,72,14.4984,49,"10",158,484,102,10,32,32,63,FALSE,0
"159","Syracuse",2009,71.52,29,69.2046,24,109.274,38,116.963,10,98.5211,104,95.2698,46,21.693,18,"3",159,485,82,3,16,32,78,TRUE,0
"160","Arizona St.",2009,60.4248,331,58.5891,332,113.584,9,117.682,6,98.1255,96,94.244,38,23.4381,11,"6",160,486,126,6,32,32,67,FALSE,0
